cpih_yoy,food_yoy,housing_fuels_yoy,transport_yoy,core_cpih_yoy,date,bank_rate,ppi_input_yoy,ppi_output_yoy,ppi_import_yoy,ppi_export_yoy,war_dummy
7.9,18.4,7.3,1.3,6.5,2023-05-01,4.25,1.6149870801033694,4.047093451066952,7.169253510716911,3.791130185979963,1
7.3,17.4,7.3,-1.7,6.4,2023-06-01,4.5,-1.3307984790874694,1.8799710773680367,4.060913705583746,1.6208597603946329,1
6.4,14.9,5.4,-2.1,6.4,2023-07-01,5.0,-1.7721518987341867,0.42949176807445255,3.6284470246734424,-0.14015416958653715,1
6.3,13.6,5.7,-0.7,5.9,2023-08-01,5.0,-0.06373486297004405,1.002865329512903,1.849217638691325,0.6324666198172624,1
6.3,12.2,5.7,0.7,5.9,2023-09-01,5.25,-0.44303797468353556,0.4950495049504955,-1.831750339213034,-1.1627906976744096,1
4.7,10.1,1.9,0.5,5.6,2023-10-01,5.25,-1.4357053682896304,0.21052631578948322,-1.2863913337846866,-0.8185538881309573,1
4.2,9.2,1.9,-1.4,5.2,2023-11-01,5.25,-1.4429109159347586,0.28169014084507005,0.2752924982794003,-0.4810996563573755,1
4.2,8.0,1.9,-1.3,5.2,2023-12-01,5.25,-0.445009535918639,0.426742532005675,0.6271777003484358,-0.2090592334494823,1
4.2,7.0,2.5,-0.5,5.1,2024-01-01,5.25,-1.637279596977348,-0.42253521126760507,-1.837985023825739,-1.5120274914089293,1
3.8,5.0,2.9,-0.4,4.8,2024-02-01,5.25,-1.0725552050473097,-0.42194092827003704,-1.971447994561526,-1.848049281314157,1
3.8,4.0,3.1,-0.1,4.7,2024-03-01,5.25,-1.5693659761456424,-0.07032348804499877,-1.3679890560875485,-1.0973936899863035,1
3.0,2.9,2.0,-0.1,4.4,2024-04-01,5.25,-0.18856065367691688,0.7741027445461013,-0.6206896551724128,0.1370801919122533,1
2.8,1.7,2.1,0.3,4.2,2024-05-01,5.25,0.2542911633820477,1.2022630834511938,-0.5517241379310422,0.4135079255685792,1
2.8,1.5,2.3,0.7,4.2,2024-06-01,5.25,1.0276172125883276,1.2065294535131166,0.13937282229963266,0.554785020804438,1
3.1,1.5,3.7,0.1,4.1,2024-07-01,5.25,1.0953608247422864,1.4967925873129007,0.1400560224089631,1.403508771929829,1
3.1,1.3,3.7,1.2,4.3,2024-08-01,5.0,-0.25510204081633514,0.8510638297872353,0.13966480446927498,0.7681564245810124,1
2.6,1.8,3.8,-2.4,4.0,2024-09-01,5.0,-1.2078830260648488,-0.4222378606615007,-2.0732550103662706,-0.8304498269896099,1
3.2,1.9,5.5,-2.0,4.1,2024-10-01,5.0,-1.6466117796073432,-0.7703081232493192,-2.880658436214001,-1.1004126547455306,1
3.5,2.0,5.8,-1.1,4.4,2024-11-01,5.0,-1.0184595798854224,-0.0702247191011196,-2.2649279341111717,-0.2071823204420009,1
3.5,2.0,6.0,-0.6,4.2,2024-12-01,4.75,-0.6385696040868472,0.7790368271954895,-1.5927977839335306,0.8379888268156499,1
3.9,3.3,5.6,1.7,4.6,2025-01-01,4.75,0.6402048655569814,1.4851485148514865,-0.2773925104022079,1.8841591067690011,1
3.7,3.3,5.3,1.8,4.4,2025-02-01,4.75,0.12755102040815647,1.34180790960452,-0.6241331484049817,1.5341701534170138,1
3.4,3.0,5.1,1.2,4.2,2025-03-01,4.5,-0.12755102040817867,0.6333567909922566,-0.06934812760055475,0.06934812760057696,1
4.1,3.4,7.0,3.3,4.5,2025-04-01,4.5,-1.1964735516372782,0.13966480446927498,0.0693962526023606,-1.16358658453114,1
4.0,4.4,6.9,0.7,4.2,2025-05-01,4.5,-1.0145846544071024,0.0,-0.9708737864077555,-1.921757035003424,1
4.1,4.5,6.7,1.7,4.3,2025-06-01,4.25,-1.0171646535283019,0.4908835904628539,-0.62630480167013,-1.3103448275862073,1
4.2,4.9,6.2,3.2,4.2,2025-07-01,4.25,-0.19120458891014325,1.3342696629213613,0.7692307692307665,-0.06920415224913601,1
4.1,5.1,6.0,2.4,4.0,2025-08-01,4.25,0.19181585677747748,1.6174402250351605,0.4184100418409997,0.0,1
4.1,4.5,5.9,3.8,3.9,2025-09-01,4.0,0.7722007722007707,2.2614840989399143,1.6937191249117856,0.9071877180739651,1
3.8,4.9,5.0,3.8,3.7,2025-10-01,4.0,0.7083065035415226,2.399435426958374,2.1892655367231617,1.112656467315709,1
3.5,4.2,4.8,3.7,3.5,2025-11-01,4.0,1.0289389067523969,2.7406886858748924,2.8089887640449396,2.076124567474058,1
3.6,4.5,4.6,4.0,3.5,2025-12-01,4.0,0.385604113110527,2.319044272663384,2.2519352568613815,1.454293628808867,1
3.2,3.6,4.2,2.7,3.3,2026-01-01,3.75,-0.31806615776081015,2.0905923344947785,0.6954102920723182,1.7123287671232834,1
3.2,3.3,4.2,2.4,3.4,2026-02-01,3.75,0.5095541401273884,1.8815331010452852,1.1863224005582707,2.060439560439553,1
